time,us_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,shortwave_radiation
2026-09-03 05:00:00,65,13.4,30.2,135.0,7.3,5.3,39.0,25.7,89,10.8,249,1004.3,0.0,0.0
2026-09-03 06:00:00,65,13.6,30.4,196.0,8.6,5.7,38.0,25.7,89,10.4,250,1004.8,0.0,0.0
2026-09-03 07:00:00,65,15.0,31.7,277.0,10.2,6.3,38.0,26.0,86,10.6,249,1005.1,0.0,21.0
2026-09-03 08:00:00,65,15.6,37.1,324.0,10.8,6.6,40.0,26.9,79,12.2,244,1005.4,0.0,155.0
2026-09-03 09:00:00,65,17.3,42.7,300.0,9.4,6.4,46.0,27.9,73,13.9,240,1005.9,0.0,356.0
2026-09-03 10:00:00,65,18.5,46.7,242.0,6.9,5.9,55.0,28.7,69,15.3,240,1006.3,0.0,537.0
2026-09-03 11:00:00,65,18.8,47.8,198.0,4.9,5.5,62.0,28.7,68,16.1,242,1006.2,0.1,523.0
2026-09-03 12:00:00,65,19.0,48.9,189.0,4.0,5.2,65.0,28.7,68,15.4,243,1006.1,0.1,459.0
2026-09-03 13:00:00,65,19.1,49.2,196.0,3.6,4.9,66.0,29.0,68,15.3,240,1005.3,0.0,543.0
2026-09-03 14:00:00,65,18.9,48.9,206.0,3.8,4.7,65.0,29.0,68,15.4,234,1004.6,0.0,541.0
2026-09-03 15:00:00,65,18.2,46.4,220.0,4.7,4.6,61.0,29.1,67,16.0,230,1003.9,0.0,620.0
2026-09-03 16:00:00,65,17.3,43.2,239.0,6.2,4.6,54.0,28.4,70,16.0,234,1003.4,0.0,482.0
2026-09-03 17:00:00,65,20.7,54.9,250.0,7.1,4.4,52.0,28.5,68,15.1,245,1003.7,0.0,347.0
2026-09-03 18:00:00,65,19.4,48.3,248.0,11.0,5.0,46.0,27.7,72,14.6,241,1003.8,0.0,161.0
2026-09-03 19:00:00,65,20.7,48.1,240.0,16.3,5.9,37.0,27.2,75,13.6,235,1004.1,0.0,22.0
2026-09-03 20:00:00,65,21.6,47.4,233.0,19.9,6.5,31.0,27.0,76,13.6,240,1004.6,0.1,0.0
2026-09-03 21:00:00,65,19.6,41.8,236.0,20.5,6.7,29.0,27.0,78,12.1,245,1005.0,0.0,0.0
2026-09-03 22:00:00,65,18.1,37.4,241.0,19.5,6.8,29.0,26.9,79,11.8,254,1005.5,0.0,0.0
2026-09-03 23:00:00,65,17.6,35.5,235.0,17.8,6.6,30.0,26.7,80,12.2,254,1005.3,0.0,0.0
2026-09-04 00:00:00,65,17.1,34.3,208.0,15.4,6.1,32.0,26.5,81,12.2,256,1005.3,0.0,0.0
2026-09-04 01:00:00,65,16.3,33.1,170.0,12.3,5.5,34.0,26.3,83,11.4,259,1004.8,0.0,0.0
2026-09-04 02:00:00,66,15.6,32.1,141.0,9.7,5.0,36.0,26.1,84,11.8,261,1004.3,0.0,0.0
2026-09-04 03:00:00,66,14.7,30.9,125.0,8.0,4.8,37.0,26.1,84,11.8,257,1004.2,0.0,0.0
